match_date,league,home_team,away_team,home_score,away_score,avg_odds_home_win,avg_odds_draw,avg_odds_away_win,result,p_home,p_draw,p_away
2005-01-01,England: Premier League,Liverpool,Chelsea,0,1,2.9944,3.1944,2.2256,A,0.3046156546989114,0.28554380053544337,0.40984054476564535
2005-01-01,England: Premier League,Fulham,Crystal Palace,3,1,1.9456,3.2333,3.6722,H,0.4691406769915189,0.282299848809173,0.24855947419930807
2005-01-01,England: Premier League,Aston Villa,Blackburn,1,0,1.8522,3.2611,4.0144,H,0.4927669539699968,0.2798757941011401,0.2273572519288631
2005-01-01,England: Premier League,Bolton,West Brom,1,1,1.6122,3.4133,5.4722,D,0.5659484902011206,0.26731378897320673,0.16673772082567279
2005-01-01,England: Premier League,Charlton,Arsenal,1,3,5.9878,3.4778,1.5567,A,0.15224892849050858,0.262130120770449,0.5856209507390424
2005-01-01,England: Premier League,Manchester City,Southampton,2,1,1.7,3.3667,4.7344,H,0.5364750723916856,0.2708906713000462,0.1926342563082683
2005-01-01,England: Premier League,Newcastle Utd,Birmingham,2,1,1.8622,3.25,3.9622,H,0.48948200234072536,0.28046565684889196,0.2300523408103828
2005-01-01,England: Premier League,Portsmouth,Norwich,1,1,1.6344,3.3933,5.2633,D,0.5579788447097155,0.2687533150011962,0.1732678402890884
2005-01-01,England: Premier League,Tottenham,Everton,5,2,2.2156,3.1722,3.0444,H,0.41216629668073,0.28787454981584554,0.29995915350342445
2005-01-01,England: Premier League,Middlesbrough,Manchester United,0,2,3.3611,3.2222,2.0489,A,0.27147736088297,0.28317998810246114,0.4453426510145689
2005-01-03,England: Premier League,Norwich,Liverpool,1,2,5.375,3.425,1.6288,A,0.17037753168137804,0.2673807978941335,0.5622416704244886
2005-01-03,England: Premier League,Blackburn,Charlton,1,0,2.2567,3.2078,2.9267,H,0.40410944038273805,0.28429259121881817,0.31159796839844367
2005-01-03,England: Premier League,Crystal Palace,Aston Villa,2,0,2.6478,3.1889,2.4611,H,0.3440945400098637,0.2857077747932257,0.37019768519691076
2005-01-03,England: Premier League,West Brom,Newcastle Utd,0,0,4.0089,3.2778,1.8389,D,0.2271127553357659,0.27776933457366276,0.49511791009057143
2005-01-04,England: Premier League,Arsenal,Manchester City,1,1,1.2733,4.8144,9.5489,D,0.715398361504692,0.18920669942338078,0.09539493907192707
2005-01-04,England: Premier League,Birmingham,Bolton,1,2,1.8233,3.2722,4.1144,A,0.49990999077169723,0.27855445454863254,0.2215355546796703
2005-01-04,England: Premier League,Chelsea,Middlesbrough,2,0,1.3367,4.2989,8.7211,H,0.6829612303360513,0.21235997036223214,0.1046787993017165
2005-01-04,England: Premier League,Everton,Portsmouth,2,1,1.7356,3.2889,4.6056,H,0.5250556524005633,0.2770794461085523,0.1978649014908845
2005-01-04,England: Premier League,Manchester United,Tottenham,0,0,1.4044,4.0056,7.3333,D,0.6484583417852836,0.22735542620412727,0.124186232010589
2005-01-05,England: Premier League,Southampton,Fulham,3,3,2.3244,3.2089,2.81,D,0.39191879362381715,0.2838904434227307,0.3241907629534521
2005-01-15,England: Premier League,Liverpool,Manchester United,0,1,2.617,3.095,2.586,A,0.34995074734223874,0.29590342675109493,0.3541458259066662
2005-01-15,England: Premier League,Aston Villa,Norwich,3,0,1.661,3.355,5.157,H,0.550306714337745,0.2724469307049164,0.17724635495733845
2005-01-15,England: Premier League,Charlton,Birmingham,3,1,2.063,3.158,3.409,H,0.4427865801917901,0.2892554512145862,0.2679579685936237
2005-01-15,England: Premier League,Manchester City,Crystal Palace,3,1,1.636,3.418,5.183,H,0.5573235749635147,0.26675873863086885,0.17591768640561645
2005-01-15,England: Premier League,Newcastle Utd,Southampton,2,1,1.537,3.545,6.095,H,0.5932104738553771,0.2571973196941366,0.14959220645048638
2005-01-15,England: Premier League,Portsmouth,Blackburn,0,1,2.031,3.195,3.469,A,0.4502168105266223,0.28619416030659467,0.2635890291667829
2005-01-15,England: Premier League,Tottenham,Chelsea,0,2,4.237,3.265,1.812,A,0.21570304675658805,0.27991847139591536,0.5043784818474965
2005-01-15,England: Premier League,Bolton,Arsenal,1,0,5.765,3.505,1.57,H,0.15830881416906822,0.2603852535476971,0.5813059322832346
2005-01-16,England: Premier League,Middlesbrough,Everton,1,1,2.013,3.19,3.485,D,0.4527646801886053,0.28571012577418886,0.26152519403720587
2005-01-16,England: Premier League,Fulham,West Brom,1,0,1.753,3.217,4.709,H,0.5215984805494973,0.28422820528544246,0.19417331416506023
2005-01-22,England: Premier League,Southampton,Liverpool,2,0,4.35,3.275,1.79,H,0.2101541494891558,0.2791360458863596,0.5107098046244847
2005-01-22,England: Premier League,Birmingham,Fulham,1,2,1.882,3.215,3.941,A,0.48474864494697306,0.2837626593437646,0.23148869570926242
2005-01-22,England: Premier League,Chelsea,Portsmouth,3,0,1.194,5.684,9.922,H,0.7516525209871459,0.157894635830164,0.09045284318269019
2005-01-22,England: Premier League,Crystal Palace,Tottenham,3,0,3.061,3.224,2.183,H,0.29836135501315264,0.28327670834220225,0.4183619366446451
2005-01-22,England: Premier League,Everton,Charlton,0,1,1.83,3.249,4.17,A,0.4994757623013371,0.28132983841534226,0.21919439928332063
2005-01-22,England: Premier League,Manchester United,Aston Villa,3,1,1.308,4.424,9.171,H,0.6952732085421509,0.20556450198307716,0.09916228947477194
2005-01-22,England: Premier League,Norwich,Middlesbrough,4,4,2.995,3.21,2.225,D,0.30496272962405113,0.2845368770168328,0.41050039335911603
2005-01-22,England: Premier League,West Brom,Manchester City,2,0,2.947,3.205,2.25,H,0.30966668935444397,0.2847387624110909,0.40559454823446506
2005-01-23,England: Premier League,Arsenal,Newcastle Utd,1,0,1.433,3.846,7.315,H,0.6375543448788268,0.2375494997949451,0.12489615532622812
2005-01-24,England: Premier League,Blackburn,Bolton,0,1,2.25,3.152,3.003,A,0.4059952116748046,0.2898125717856315,0.3041922165395639
2005-02-01,England: Premier League,Portsmouth,Middlesbrough,2,1,2.483,3.22,2.62,H,0.36780554838619667,0.28362148342948024,0.34857296818432304
2005-02-01,England: Premier League,West Brom,Crystal Palace,2,2,2.235,3.216,2.956,D,0.40798808081193033,0.28353649272844034,0.3084754264596293
2005-02-01,England: Premier League,Arsenal,Manchester United,2,4,2.282,3.126,3.056,A,0.403757505162639,0.29474556199012863,0.30149693284723234
2005-02-01,England: Premier League,Bolton,Tottenham,3,1,2.21,3.225,3.012,H,0.4133934419322591,0.28328666873497443,0.30331988933276643
