"rank","net_worth","category","personName","age","country","city","source","industries","countryOfCitizenship","organization","selfMade","gender","title","state","residenceStateRegion","cpi_country","cpi_change_country","gdp_country","gross_tertiary_education_enrollment","gross_primary_education_enrollment_country","life_expectancy_country","tax_revenue_country_country","total_tax_rate_country","population_country","latitude_country","longitude_country","gdp_country_numeric","log_net_worth","log_cpi_country","log_cpi_change_country","log_gross_primary_education_enrollment_country","exp_life_expectancy_country","exp_latitude_country"
1,211000,"Fashion & Retail","Bernard Arnault & family",74,"France","Paris","LVMH","Fashion & Retail","France","LVMH Moët Hennessy Louis Vuitton",FALSE,"M","Chairman and CEO","","",110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749,2715518274227,12.2596134124582,4.70093480797247,1.38629436111989,4.62986279857846,2.5680421845777,2.33344849204226
2,180000,"Automotive","Elon Musk",51,"United States","Austin","Tesla, SpaceX","Automotive","United States","Tesla",TRUE,"M","CEO","Texas","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,12.1007121298723,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
3,114000,"Technology","Jeff Bezos",59,"United States","Medina","Amazon","Technology","United States","Amazon",TRUE,"M","Chairman and Founder","Washington","West",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,11.6439537273766,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
4,107000,"Technology","Larry Ellison",78,"United States","Lanai","Oracle","Technology","United States","Oracle",TRUE,"M","CTO and Founder","Hawaii","West",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,11.580584113444,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
5,106000,"Finance & Investments","Warren Buffett",92,"United States","Omaha","Berkshire Hathaway","Finance & Investments","United States","Berkshire Hathaway Inc. (Cl A)",TRUE,"M","CEO","Nebraska","Midwest",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,11.5711943730942,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
6,104000,"Technology","Bill Gates",67,"United States","Medina","Microsoft","Technology","United States","Bill & Melinda Gates Foundation",TRUE,"M","Cochair","Washington","West",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,11.5521461781235,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
7,94500,"Media & Entertainment","Michael Bloomberg",81,"United States","New York","Bloomberg LP","Media & Entertainment","United States","Bloomberg",TRUE,"M","CEO","New York","Northeast",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,11.4563551134818,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
8,93000,"Telecom","Carlos Slim Helu & family",83,"Mexico","Mexico City","Telecom","Telecom","Mexico","América Móvil",TRUE,"M","Honorary Chairman","","",141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75,13.1,55.1,126014024,23.634501,-102.552784,1258286717125,11.4403547721354,4.95258236264764,1.87180217690159,4.6615505194242,1.99832172803885,1.8731515607626
9,83400,"Diversified","Mukesh Ambani",65,"India","Mumbai","Diversified","Diversified","India","Reliance Industries",FALSE,"M","Founder and Chairman","","",180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288,2.611e+12,11.3314035883468,5.1953983125402,2.36085400111802,4.72738781871234,1.6570132294805,1.81856822703354
10,80700,"Technology","Steve Ballmer",67,"United States","Hunts Point","Microsoft","Technology","United States","Los Angeles Clippers",TRUE,"M","Owner","Washington","West",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,11.298493854258,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
