"column","correlation_to_log_net_worth","abs_correlation"
"log_log_net_worth",0.997373272069344,0.997373272069344
"rank",-0.926013104150578,0.926013104150578
"net_worth",0.706363579942016,0.706363579942016
"longitude_country",-0.16615189258727,0.16615189258727
"birthYear",-0.133235174291262,0.133235174291262
"age",0.132705867675443,0.132705867675443
"gross_tertiary_education_enrollment",0.115239738525977,0.115239738525977
"population_country",-0.105713887838573,0.105713887838573
"total_tax_rate_country",-0.105248911916001,0.105248911916001
"log_cpi_country",-0.0751522099034856,0.0751522099034856
"cpi_country",-0.070445411584558,0.070445411584558
"log_cpi_change_country",0.0597888154729576,0.0597888154729576
"cpi_change_country",0.0582791253761608,0.0582791253761608
"latitude_country",0.0570889896653967,0.0570889896653967
"exp_latitude_country",0.0570129865355014,0.0570129865355014
"selfMade_numeric",-0.0551406672919862,0.0551406672919862
"birthDay",0.054859472911381,0.054859472911381
"gdp_country_numeric",0.0501443962513006,0.0501443962513006
"exp_life_expectancy_country",0.036152186172627,0.036152186172627
"life_expectancy_country",0.0351625294060314,0.0351625294060314
"birthMonth",0.0333283519629239,0.0333283519629239
"tax_revenue_country_country",-0.0203614171126762,0.0203614171126762
"gross_primary_education_enrollment_country",-0.0109551422263613,0.0109551422263613
"log_gross_primary_education_enrollment_country",-0.00773102654644434,0.00773102654644434
